"Nombre de la serie","Número secuencial","Nombre del archivo con los valores de la serie","Descripción de la serie","Tipo de variable","Código de unidades","Exponente","Número de decimales","Descripción de unidades y exponente","Frecuencia de la serie","Fecha de la primera observación","Fecha de la última observación","Número de observaciones","Título de la serie","Fuente","Notas"
"IE_1_1.1",2405490,"IE0101","CNE.SEC2010.Base2010.Índices de volumen encadenados.PIB. Total economía.Datos corregidos de efectos estacionales y de calendario","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Producto interior bruto/Sector de Saldo:  Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.2",2665112,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Producto interior bruto/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Zona del Euro/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.3",2405513,"IE0101","","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.4",2665105,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Gasto en consumo individual/Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.5",2405510,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Gasto en consumo final nacional , AAPP","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Gasto en consumo final nacional/Sector de Origen:  Empleos. Administraciones públicas/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.6",2665106,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Gasto en consumo final nacional/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.7",2405523,"IE0101","CNE.SEC2010.BASE 2010. Indices de volumen encadenados. Formación bruta de capital fijo. Total de la economía","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Formación bruta de capital fijo/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.8",2665107,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Formación bruta de capital fijo/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
"IE_1_1.9",2405498,"IE0101","CNE.SEC2010.Base 2010.DEMANDA NACIONAL.INDICES DE VOLUMEN ENCADENADOS.DATOS CORREGIDOS DE EFECTOS ESTACIONALES Y DE CALENDARIO","SUMA","Base_2010=100",0,2,"Base_2010 = 100","TRIMESTRAL","Mar-95","Dic-15",84,"Descripción Familia:  Contabilidad nacional de España/Metodología:  METODOLOGÍA DEL AÑO SEC2010/Año Base:  Año base 2010/Valoración:  Índices de volumen encadenados/Operaciones y otros Flujos:  Demanda Nacional/Sector de Origen:  Empleos. Economía en su conjunto (Total de la economía)/Tipo de Transformación:  Datos corregidos de efectos estacionales y de calendario","Instituto Nacional de Estadistica",""
"IE_1_1.10",2665108,"IE0101","","SUMA","EUR",6,2,"Millones de Euros","TRIMESTRAL","Mar-95","Dic-15",84,"Contabilidad Nacional/METODOLOGÍA DEL AÑO SEC2010/Año base 2010/Volúmenes encadenados/Demanda Nacional/Empleos. Economía en su conjunto (Total de la economía)/Recursos. Economía en su conjunto (Total de la economía)/Euro área (composición variable)/Mundo (todas las entidades, incluyendo el área de referencia, incluyendo organismos internacionales)/Datos corregidos de efectos estacionales y de calendario","Eurostat",""
