"","IE_1_3.1","IE_1_3.2","IE_1_3.3","IE_1_3.4","IE_1_3.5","IE_1_3.6","IE_1_3.7","IE_1_3.8","IE_1_3.9","IE_1_3.10","IE_1_3.11","IE_1_3.12","IE_1_3.13","IE_1_3.14"
"NÚMERO SECUENCIAL",2405698,2491517,2491518,2491516,2491420,2491421,2515622,2515623,2515624,2515625,2515626,2515627,2515628,2405703
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Producto interior bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Agricultura, ganadería, silvicultura y pesca. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Industria. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Industria manufacturera. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Construcción. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Servicios. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Comercio, transporte y hostelería. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Información y Comunicaciones. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades financieras y de seguros. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades inmobiliarias. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades profesionales. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Administración pública, sanidad y educación. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades artísticas, recreativas y otros servicios. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Impuestos sobre los productos, netos de subvenciones. Sector de Destino:Recursos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual."
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 1996",2.54,23.89,2.86,2.48,-0.86,1.66,-0.15,5.97,1.47,1.90,3.98,1.42,6.86,2.24
"JUN 1996",2.48,25.96,2.24,2.36,-1.53,1.52,-0.49,5.87,3.08,0.85,3.12,2.03,4.72,3.84
"SEP 1996",2.99,18.42,3.10,3.03,-0.42,2.19,0.58,5.70,4.72,1.71,3.73,2.10,4.79,4.78
"DIC 1996",2.68,16.43,3.49,3.45,-0.12,1.62,0.75,5.06,3.30,0.90,3.41,0.60,4.38,4.62
"MAR 1997",3.15,11.20,3.49,4.29,0.17,2.36,1.99,5.53,4.59,0.05,2.65,1.87,3.82,7.12
"JUN 1997",3.50,4.43,5.85,6.75,0.74,2.64,1.29,4.99,6.63,0.53,5.16,2.79,2.64,6.51
"SEP 1997",3.51,4.21,5.80,6.73,1.05,2.79,2.07,7.40,5.36,0.40,2.67,2.57,4.01,5.49
"DIC 1997",4.59,7.27,5.55,6.69,3.44,3.68,3.62,7.40,4.62,0.76,4.72,3.22,3.73,8.81
"MAR 1998",4.43,5.38,5.59,6.64,4.28,3.45,1.65,8.08,8.16,0.03,7.00,2.80,6.39,8.41
"JUN 1998",4.27,5.52,5.04,6.03,4.12,3.44,3.17,4.59,8.04,0.42,5.75,1.86,5.95,7.92
"SEP 1998",4.47,4.89,4.76,5.57,5.51,3.62,3.08,2.72,8.38,0.15,6.83,2.85,5.57,8.71
"DIC 1998",4.06,-2.74,4.23,4.54,5.53,3.92,3.19,1.66,9.76,1.00,7.11,2.92,7.29,6.74
"MAR 1999",3.90,-4.88,4.21,4.35,5.21,3.96,4.25,-1.08,4.73,3.87,4.27,4.17,5.51,5.94
"JUN 1999",4.61,-0.91,4.25,4.43,7.42,4.28,3.44,2.96,8.39,3.89,5.30,3.84,6.62,7.66
"SEP 1999",4.64,-0.12,5.04,5.29,5.56,4.28,3.78,6.03,7.63,4.60,7.35,2.20,5.15,7.64
"DIC 1999",4.77,3.03,6.09,6.61,5.88,3.99,3.70,5.05,7.03,4.18,7.70,1.83,4.24,6.76
"MAR 2000",5.58,8.92,5.59,5.58,5.56,5.34,4.83,12.76,12.02,2.23,7.09,2.36,7.41,5.80
"JUN 2000",5.30,8.71,5.21,5.07,4.87,5.44,4.25,11.34,13.00,3.60,8.66,2.58,7.43,3.58
"SEP 2000",5.17,6.10,4.15,3.99,4.82,5.60,3.95,9.19,12.09,3.72,8.75,4.58,6.41,4.56
"DIC 2000",5.11,5.92,4.07,3.97,4.62,5.93,4.51,9.49,10.15,5.39,8.69,4.84,7.06,2.09
"MAR 2001",4.49,-0.75,4.49,4.56,6.18,4.87,3.50,10.73,9.04,7.51,5.55,3.20,3.66,2.61
"JUN 2001",4.03,-4.05,3.82,3.81,6.84,4.36,3.14,6.70,7.05,7.42,4.52,3.57,4.35,2.91
"SEP 2001",3.96,-2.98,4.33,4.20,6.92,4.01,2.72,8.52,5.76,9.06,2.64,2.62,4.94,2.72
"DIC 2001",3.54,1.76,3.00,2.57,5.78,3.45,2.07,8.36,5.06,8.44,0.71,2.90,3.41,3.65
"MAR 2002",3.10,4.66,0.71,0.12,5.08,3.49,2.68,6.82,6.84,9.02,-0.33,2.29,2.88,2.89
"JUN 2002",3.06,2.03,1.68,1.12,2.92,3.58,2.13,7.62,6.31,9.94,1.01,2.59,2.60,3.06
"SEP 2002",2.66,1.92,1.09,0.84,2.29,3.12,1.49,5.40,6.04,7.59,0.51,3.05,4.12,3.48
"DIC 2002",2.71,-4.85,2.15,1.93,2.48,3.20,1.14,6.11,6.59,8.48,2.35,2.79,2.70,3.82
"MAR 2003",3.13,-4.26,3.72,3.27,1.10,3.33,1.06,5.79,4.75,6.81,2.59,4.39,3.62,5.93
"JUN 2003",3.05,-1.23,1.55,0.80,1.55,3.41,1.89,5.64,3.93,6.24,2.06,4.33,3.02,7.01
"SEP 2003",3.14,-3.23,2.64,1.71,1.64,3.33,1.79,4.28,3.63,8.06,2.01,4.05,2.54,6.90
"DIC 2003",3.42,5.85,2.68,1.88,1.75,3.15,1.39,3.19,3.64,6.91,2.57,3.63,5.73,7.66
"MAR 2004",3.03,2.69,1.05,0.43,0.21,3.61,3.27,3.06,6.47,7.28,0.49,2.78,5.10,6.27
"JUN 2004",3.14,0.93,1.80,1.18,0.35,3.69,3.52,2.88,8.60,6.42,0.61,2.40,5.39,5.82
"SEP 2004",3.46,-1.85,2.03,1.52,0.45,4.33,3.26,5.02,10.29,5.72,2.37,4.03,4.66,5.63
"DIC 2004",3.04,-11.42,0.78,0.19,0.79,4.56,3.79,5.62,12.06,5.50,0.34,4.70,3.61,5.22
"MAR 2005",3.46,-10.05,0.66,0.01,2.76,4.79,2.01,6.62,12.14,6.04,6.59,4.93,4.75,5.53
"JUN 2005",3.70,-10.41,2.39,2.15,2.82,4.71,2.03,6.73,11.70,6.42,6.96,4.22,4.96,5.27
"SEP 2005",3.65,-6.01,2.06,1.86,3.12,4.34,1.83,5.70,11.66,6.23,6.50,3.40,5.53,5.67
"DIC 2005",4.08,-5.31,3.41,3.34,3.02,4.67,2.19,6.21,12.19,7.12,7.64,3.36,4.19,5.40
"MAR 2006",4.16,1.04,3.39,3.31,1.95,5.05,2.26,4.13,12.89,6.75,9.99,4.26,4.64,3.37
"JUN 2006",4.18,6.93,2.73,2.96,2.09,5.09,2.77,3.96,13.56,6.45,9.92,4.10,3.06,2.69
"SEP 2006",4.22,6.53,2.98,3.09,2.00,5.23,3.38,4.74,13.51,5.31,10.40,3.98,2.88,2.09
"DIC 2006",4.13,9.38,2.93,3.30,1.76,4.89,2.61,4.13,12.65,5.05,10.03,4.53,2.08,2.75
"MAR 2007",4.06,8.47,1.85,2.20,0.75,5.72,3.66,6.14,10.82,9.59,8.29,4.34,3.69,0.50
"JUN 2007",3.83,5.87,1.97,1.55,0.47,5.50,3.43,5.41,9.95,9.29,7.80,4.80,2.48,0.24
"SEP 2007",3.64,7.06,1.73,1.43,0.37,5.22,3.06,4.55,10.24,8.26,7.37,5.00,2.94,0.18
"DIC 2007",3.55,7.28,1.55,0.53,0.40,5.26,3.82,4.33,9.86,7.50,6.63,4.80,3.47,-0.68
"MAR 2008",2.97,0.15,1.21,0.06,2.04,3.75,2.70,3.89,6.93,2.59,3.84,4.97,2.81,2.79
"JUN 2008",2.20,-1.23,0.93,-0.11,1.93,3.10,1.03,3.39,6.06,2.10,3.37,5.10,3.97,-0.15
"SEP 2008",0.61,-3.93,-0.61,-1.96,-0.84,1.73,-0.91,1.99,1.90,2.64,1.35,4.80,1.94,-1.64
"DIC 2008",-1.26,-5.77,-4.70,-6.32,-2.25,0.53,-2.98,0.75,-1.55,2.16,-1.32,5.16,3.31,-4.54
"MAR 2009",-3.27,-4.25,-10.95,-11.16,-4.01,-0.56,-4.47,0.53,-3.88,2.69,-1.38,3.93,-0.01,-6.58
"JUN 2009",-4.26,-4.05,-11.50,-12.34,-7.40,-1.56,-4.70,-0.13,-6.48,3.04,-4.51,2.25,0.02,-6.58
"SEP 2009",-3.84,-3.06,-10.76,-12.05,-8.82,-0.94,-3.41,0.14,-7.23,3.85,-4.89,2.66,1.23,-6.37
"DIC 2009",-2.91,-3.14,-6.67,-7.95,-10.13,-0.75,-2.00,1.85,-7.01,3.89,-3.99,0.55,1.43,-3.85
