"","IE_1_4.1","IE_1_4.2","IE_1_4.3","IE_1_4.4","IE_1_4.5","IE_1_4.6","IE_1_4.7","IE_1_4.8","IE_1_4.9","IE_1_4.10","IE_1_4.11","IE_1_4.12","IE_1_4.13","IE_1_4.14","IE_1_4.15","IE_1_4.16","IE_1_4.17","IE_1_4.18","IE_1_4.19","IE_1_4.20","IE_1_4.21"
"NÚMERO SECUENCIAL",2405636,2405632,2405654,2515606,2515607,2515608,2405658,2405678,2405609,2515609,2515610,2515611,2515612,2515613,2515614,2515615,2515616,2515617,2515618,2515619,2515620
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Gasto en consumo final nacional. Sector de Origen:Empleos. Hogares e instituciones sin fines de lucro al servicio de los hogares. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","CNE.SEC2010.BASE 2010. Tasas de variación interanual.Deflactor del gasto en consumo final.AAPP.Datos corregidos de efectos estacionales y calendario","CNE.SEC2010.BASE 2010. Tasa de variación del deflactor implícito de la formación bruta de capital fijo","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos materiales. Construcción. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos materiales. Bienes de equipo y activos cultivados. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos inmateriales.. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","CNE.SEC2010.BASE 2010. Tasas de variación interanual.Deflactor de las exportaciones de Bienes y servicios.Datos corregidos de efectos estacionales y calendario","CNE.SEC2010.BASE 2010. Tasas de variación interanual.Deflactor de las importaciones de Bienes y servicios.Datos corregidos de efectos estacionales y calendario","CNE.SEC2010.BASE 2010. Tasas de variación interanual.Deflactor del PIBpm.Datos corregidos de efectos estacionales y calendario","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Agricultura, ganadería, silvicultura y pesca. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Industria. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Industria manufacturera. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Construcción. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Servicios. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Comercio, transporte y hostelería. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Información y Comunicaciones. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades financieras y de seguros. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades inmobiliarias. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades profesionales. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Administración pública, sanidad y educación. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Deflactor implícito. Operaciones y otros Flujos:Valor añadido bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Actividades artísticas, recreativas y otros servicios. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual."
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 1996",2.86,5.45,3.19,3.42,1.96,6.27,2.35,0.65,3.78,1.58,3.05,3.50,2.68,3.73,3.26,4.84,1.52,5.08,5.90,4.50,0.34
"JUN 1996",2.89,4.38,2.14,2.63,0.85,3.11,1.59,-1.04,3.64,-0.28,3.35,3.84,3.72,3.73,3.44,4.60,0.71,5.98,6.08,4.12,0.42
"SEP 1996",2.90,3.84,2.73,3.06,1.76,3.95,1.34,-0.75,3.51,-1.09,3.66,4.05,4.51,3.91,3.70,4.54,-0.25,6.62,7.90,4.10,-0.11
"DIC 1996",2.85,3.59,2.65,2.59,2.67,3.27,2.15,2.20,2.97,-3.29,2.96,3.55,2.93,2.98,2.08,4.29,1.02,4.97,4.04,4.52,-0.67
"MAR 1997",2.70,1.06,2.23,2.32,2.37,1.10,3.85,2.28,2.68,-5.86,1.11,1.44,3.94,3.41,2.86,4.40,2.52,7.85,6.64,2.58,-0.12
"JUN 1997",2.48,0.27,3.30,3.23,3.53,3.01,3.57,3.51,2.31,-6.75,1.48,1.92,4.46,2.61,2.62,4.62,0.42,6.90,4.98,1.04,0.49
"SEP 1997",2.82,0.62,3.01,2.67,3.40,4.10,3.20,4.34,2.17,2.62,1.10,1.46,2.02,2.14,1.69,5.29,1.53,5.33,4.43,0.82,0.55
