"","IE_2_2.1","IE_2_2.2","IE_2_2.3","IE_2_2.4","IE_2_2.5","IE_2_2.6","IE_2_2.7","IE_2_2.8","IE_2_2.9","IE_2_2.10","IE_2_2.11"
"NÚMERO SECUENCIAL",304732,1652568,1816915,304977,304721,304717,304723,304972,304718,304715,304728
"DESCRIPCIÓN DE LA SERIE","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . OCDE TOTAL . TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL","UE 27. Tasa de desempleo estandarizada por la OCDE","UEM. Tasa de desempleo estandarizada por la OCDE","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . ESPAÑA . TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL ","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . ALEMANIA (DESPUES DE LA REUNIFICACION) . TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . FRANCIA . TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE . CALCULO SOBRE LA POBLACION ACTIVA TOTAL ","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . HOLANDA. TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . ITALIA . TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . REINO UNIDO. TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . ESTADOS UNIDOS. TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE . CALCULO SOBRE LA POBLACION ACTIVA TOTAL ","ECONOMIA MUNDIAL - SERIE DESESTACIONALIZADA . JAPON. TASA DE DESEMPLEO ESTANDARIZADA POR LA OCDE. CALCULO SOBRE LA POBLACION ACTIVA TOTAL"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1960","_","_","_","_","_","_","_","_","_",5.2,1.9
"FEB 1960","_","_","_","_","_","_","_","_","_",4.8,1.7
"MAR 1960","_","_","_","_","_","_","_","_","_",5.4,1.7
"ABR 1960","_","_","_","_","_","_","_","_","_",5.2,1.7
"MAY 1960","_","_","_","_","_","_","_","_","_",5.1,1.7
"JUN 1960","_","_","_","_","_","_","_","_","_",5.4,1.6
"JUL 1960","_","_","_","_","_","_","_","_","_",5.5,1.5
"AGO 1960","_","_","_","_","_","_","_","_","_",5.6,1.6
"SEP 1960","_","_","_","_","_","_","_","_","_",5.5,1.6
"OCT 1960","_","_","_","_","_","_","_","_","_",6.1,1.4
"NOV 1960","_","_","_","_","_","_","_","_","_",6.1,1.5
"DIC 1960","_","_","_","_","_","_","_","_","_",6.6,1.5
"ENE 1961","_","_","_","_","_","_","_","_","_",6.6,1.5
"FEB 1961","_","_","_","_","_","_","_","_","_",6.9,1.5
"MAR 1961","_","_","_","_","_","_","_","_","_",6.9,1.3
"ABR 1961","_","_","_","_","_","_","_","_","_",7.0,1.4
"MAY 1961","_","_","_","_","_","_","_","_","_",7.1,1.5
"JUN 1961","_","_","_","_","_","_","_","_","_",6.9,1.5
"JUL 1961","_","_","_","_","_","_","_","_","_",7.0,1.5
"AGO 1961","_","_","_","_","_","_","_","_","_",6.6,1.4
"SEP 1961","_","_","_","_","_","_","_","_","_",6.7,1.4
"OCT 1961","_","_","_","_","_","_","_","_","_",6.5,1.4
"NOV 1961","_","_","_","_","_","_","_","_","_",6.1,1.5
"DIC 1961","_","_","_","_","_","_","_","_","_",6.0,1.4
"ENE 1962","_","_","_","_","_","_","_","_","_",5.8,1.3
"FEB 1962","_","_","_","_","_","_","_","_","_",5.5,1.3
"MAR 1962","_","_","_","_","_","_","_","_","_",5.6,1.3
"ABR 1962","_","_","_","_","_","_","_","_","_",5.6,1.4
"MAY 1962","_","_","_","_","_","_","_","_","_",5.5,1.2
"JUN 1962","_","_","_","_","_","_","_","_","_",5.5,1.3
"JUL 1962","_","_","_","_","_","_","_","_","_",5.4,1.3
"AGO 1962","_","_","_","_","_","_","_","_","_",5.7,1.2
"SEP 1962","_","_","_","_","_","_","_","_","_",5.6,1.2
"OCT 1962","_","_","_","_","_","_","_","_","_",5.4,1.4
"NOV 1962","_","_","_","_","_","_","_","_","_",5.7,1.3
"DIC 1962","_","_","_","_","_","_","_","_","_",5.5,1.3
"ENE 1963","_","_","_","_","_","_","_","_","_",5.7,1.4
"FEB 1963","_","_","_","_","_","_","_","_","_",5.9,1.4
"MAR 1963","_","_","_","_","_","_","_","_","_",5.7,1.4
"ABR 1963","_","_","_","_","_","_","_","_","_",5.7,1.2
"MAY 1963","_","_","_","_","_","_","_","_","_",5.9,1.3
"JUN 1963","_","_","_","_","_","_","_","_","_",5.6,1.1
"JUL 1963","_","_","_","_","_","_","_","_","_",5.6,1.1
"AGO 1963","_","_","_","_","_","_","_","_","_",5.4,1.2
"SEP 1963","_","_","_","_","_","_","_","_","_",5.5,1.3
"OCT 1963","_","_","_","_","_","_","_","_","_",5.5,1.2
"NOV 1963","_","_","_","_","_","_","_","_","_",5.7,1.2
"DIC 1963","_","_","_","_","_","_","_","_","_",5.5,1.3
"ENE 1964","_","_","_","_","_","_","_","_","_",5.6,1.2
"FEB 1964","_","_","_","_","_","_","_","_","_",5.4,1.3
"MAR 1964","_","_","_","_","_","_","_","_","_",5.4,1.2
