"","IE_2_5.1","IE_2_5.2","IE_2_5.3","IE_2_5.4","IE_2_5.5","IE_2_5.6","IE_2_5.7","IE_2_5.8","IE_2_5.9","IE_2_5.10","IE_2_5.11","IE_2_5.12"
"NÚMERO SECUENCIAL",814436,1980208,1980207,2747277,269077,2664985,2264818,587851,250134,250150,315387,2768139
"DESCRIPCIÓN DE LA SERIE","UEM. Operaciones principales de financiación","Tipo descuento (Primary Credit rate)","ECONOMÍA MUNDIAL. TIPO DE INTERÉS DE INTERVENCIÓN . FEDERAL FUNDS OBJETIVO . ESTADOS UNIDOS. ","ECONOMIA MUNDIAL. TIPO DE INTERES DE INTERVENCION . TARGET POLICY RATE-UNCOLLTZD.CALL MIDDLE RATE . JAPON . ","ECONOMIA MUNDIAL. TIPO DE INTERES DE INTERVENCION . OFERTA COMPLEMENTARIA DE LIQUIDEZ (RETAIL BANK BASE RATE) . REINO UNIDO . ","ECONOMIA MUNDIAL. TIPO DE INTERES DE INTERVENCION. PRESTAMOS DE PLAZO INFERIOR A 1 AÑO. CHINA","OCDE. Tipo interes interbancario. 3 meses","UEM. Mercado monetario. Euribor a 3 meses","EEUU. Tipo interes interbancario. 3 meses","Japon. Tipo interes interbancario. 3 meses","ECONOMIA MUNDIAL. TIPO DE INTERES A 3 MESES (INDICE LIBOR). EUROMERCADO EN LONDRES. LIBRA ESTERLINA . OFERTA","CHINA. TIPO INTERES INTERBANCARIO. 3 MESES (SHIBOR)"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1969","_","_","_","_","_","_","_","_",6.43,"_","_","_"
"FEB 1969","_","_","_","_","_","_","_","_",6.55,"_","_","_"
"MAR 1969","_","_","_","_","_","_","_","_",6.65,"_","_","_"
"ABR 1969","_","_","_","_","_","_","_","_",6.95,"_","_","_"
"MAY 1969","_","_","_","_","_","_","_","_",7.48,"_","_","_"
"JUN 1969","_","_","_","_","_","_","_","_",8.23,"_","_","_"
"JUL 1969","_","_","_","_","_","_","_","_",8.68,"_","_","_"
"AGO 1969","_","_","_","_","_","_","_","_",8.25,"_","_","_"
"SEP 1969","_","_","_","_","_","_","_","_",8.69,"_","_","_"
"OCT 1969","_","_","_","_","_","_","_","_",8.38,"_","_","_"
"NOV 1969","_","_","_","_","_","_","_","_",8.69,"_","_","_"
"DIC 1969","_","_","_","_","_","_","_","_",8.95,"_","_","_"
"ENE 1970","_","_","_","_","_","_","_","_",8.82,"_","_","_"
"FEB 1970","_","_","_","_","_","_","_","_",8.44,"_","_","_"
"MAR 1970","_","_","_","_","_","_","_","_",8.24,"_","_","_"
"ABR 1970","_","_","_","_","_","_","_","_",7.27,"_","_","_"
"MAY 1970","_","_","_","_","_","_","_","_",7.99,"_","_","_"
"JUN 1970","_","_","_","_","_","_","_","_",8.09,"_","_","_"
"JUL 1970","_","_","_","_","_","_","_","_",8.02,"_","_","_"
"AGO 1970","_","_","_","_","_","_","_","_",7.78,"_","_","_"
