"","IE_3_2.1","IE_3_2.2","IE_3_2.3","IE_3_2.4"
"NÚMERO SECUENCIAL",328713,328710,328711,328712
"DESCRIPCIÓN DE LA SERIE","Encuesta de inversiones en la industria (excepto construcción). Realización. Tasa de variación interanual","Encuesta de inversiones en la industria (excepto construcción). Previsión 1ª. Tasa de variación interanual","Encuesta de inversiones en la industria (excepto construcción). Previsión 2ª. Tasa de variación interanual","Encuesta de inversiones en la industria (excepto construcción). Previsión 3ª. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"1988",19,41,41,21
"1989",27,38,27,24
"1990",21,31,13,7
"1991",7,8,3,0
"1992",-8,3,5,-3
"1993",-17,-6,-13,-17
"1994",11,3,-3,8
"1995",13,13,19,17
"1996",13,15,11,12
"1997",7,12,6,10
"1998",17,14,17,8
"1999",19,5,9,10
"2000",8,8,6,13
"2001",1,12,13,0
"2002",-8,-6,-1,-3
"2003",-14,14,28,-14
"2004",13,12,24,-10
"2005",22,3,-4,-17
"2006",1,18,-30,-6
"2007",-3,4,3,-15
"2008",0,26,22,11
"2009",-28,-4,-35,-27
"2010",-14,-37,-23,-26
"2011",11,11,26,11
"2012",6,15,28,-4
"2013",2,27,32,7
"2014",-6,30,6,6
"2015","_",7,3,"_"
