"","IE_4_1.1","IE_4_1.2","IE_4_1.3","IE_4_1.4","IE_4_1.5","IE_4_1.6","IE_4_1.7","IE_4_1.8","IE_4_1.9"
"NÚMERO SECUENCIAL",2358316,2365279,2365278,2357813,2357814,2365291,2365292,2365293,2365290
"DESCRIPCIÓN DE LA SERIE","EPA.Población 16 y más años","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Población de 16 y más años. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Población de 16 y más años. Tipo de Transformación:Tasa de variación interanual","EPA. Tasa de actividad. España ","EPA.Población activa","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Activos. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Activos. Tipo de Transformación:Parte de la variación interanual explicada por la población","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Activos. Tipo de Transformación:Parte de la variación interanual explicada por la tasa de actividad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Activos. Tipo de Transformación:Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Personas","Miles de Personas","Porcentaje","Porcentaje","Miles de Personas","Miles de Personas","Miles de Personas","Miles de Personas","Porcentaje"
"MAR 2002",34470.6,"_","_",54.06,18635.10,"_","_","_","_"
"JUN 2002",34639.4,"_","_",54.48,18870.20,"_","_","_","_"
"SEP 2002",34804.8,"_","_",54.92,19115.30,"_","_","_","_"
"DIC 2002",34982.4,"_","_",54.95,19224.30,"_","_","_","_"
"MAR 2003",35134.1,663.5,1.92,55.28,19421.20,786.1,366.8,419.3,4.22
"JUN 2003",35288.6,649.2,1.87,55.65,19639.20,769.0,361.3,407.7,4.08
"SEP 2003",35430.7,625.9,1.80,56.15,19893.50,778.2,351.4,426.8,4.07
"DIC 2003",35582.9,600.5,1.72,56.25,20017.10,792.8,337.8,455.0,4.12
"MAR 2004",35704.9,570.8,1.62,56.24,20080.00,658.8,321.0,337.8,3.39
"JUN 2004",35838.4,549.8,1.56,56.55,20266.50,627.3,310.9,316.4,3.19
"SEP 2004",35987.6,556.9,1.57,56.93,20488.90,595.4,317.1,278.3,2.99
"DIC 2004",36184.3,601.4,1.69,57.12,20667.70,650.6,343.5,307.1,3.25
"MAR 2005",36351.4,646.5,1.81,57.38,20857.40,777.4,370.9,406.5,3.87
"JUN 2005",36519.2,680.8,1.90,57.86,21129.70,863.2,393.9,469.3,4.26
"SEP 2005",36650.6,663.0,1.84,57.86,21205.60,716.7,383.6,333.1,3.50
"DIC 2005",36796.4,612.1,1.69,58.08,21369.50,701.8,355.5,346.3,3.40
"MAR 2006",36917.5,566.1,1.56,58.30,21521.30,663.9,330.0,333.9,3.18
"JUN 2006",37055.7,536.5,1.47,58.63,21726.00,596.3,314.6,281.7,2.82
"SEP 2006",37209.5,558.9,1.52,58.74,21857.80,652.2,328.3,323.9,3.08
"DIC 2006",37388.6,592.2,1.61,58.88,22014.80,645.3,348.7,296.6,3.02
"MAR 2007",37570.9,653.4,1.77,58.90,22130.80,609.5,384.9,224.6,2.83
"JUN 2007",37743.9,688.2,1.86,59.23,22354.10,628.1,407.6,220.5,2.89
"SEP 2007",37916.4,706.9,1.90,59.50,22559.60,701.8,420.6,281.2,3.21
"DIC 2007",38101.1,712.5,1.91,59.47,22659.90,645.1,423.7,221.4,2.93
"MAR 2008",38224.5,653.6,1.74,59.67,22810.40,679.6,390.0,289.6,3.07
"JUN 2008",38341.7,597.8,1.58,60.07,23032.60,678.5,359.1,319.4,3.04
"SEP 2008",38447.8,531.4,1.40,60.23,23157.10,597.5,320.1,277.4,2.65
"DIC 2008",38546.6,445.5,1.17,60.35,23262.10,602.2,268.9,333.3,2.66
"MAR 2009",38589.3,364.8,0.95,60.39,23302.60,492.2,220.3,271.9,2.16
"JUN 2009",38631.4,289.7,0.76,60.30,23293.80,261.2,174.7,86.5,1.13
"SEP 2009",38670.1,222.3,0.58,60.05,23219.80,62.7,133.5,-70.8,0.27
"DIC 2009",38713.0,166.4,0.43,59.99,23225.40,-36.7,99.8,-136.5,-0.16
"MAR 2010",38725.0,135.7,0.35,60.09,23270.50,-32.1,81.5,-113.6,-0.14
"JUN 2010",38745.0,113.6,0.29,60.41,23406.40,112.6,68.6,44.0,0.48
"SEP 2010",38768.7,98.6,0.25,60.37,23404.40,184.6,59.5,125.1,0.80
"DIC 2010",38801.8,88.8,0.23,60.25,23377.10,151.7,53.5,98.2,0.65
"MAR 2011",38808.7,83.7,0.22,60.16,23347.30,76.8,50.4,26.4,0.33
"JUN 2011",38827.1,82.1,0.21,60.44,23466.20,59.8,49.6,10.2,0.26
"SEP 2011",38851.6,82.9,0.21,60.44,23482.50,78.1,50.1,28.0,0.33
"DIC 2011",38881.9,80.1,0.21,60.29,23440.30,63.2,48.3,14.9,0.27
"MAR 2012",38854.2,45.5,0.12,60.31,23433.00,85.7,27.4,58.3,0.37
"JUN 2012",38823.6,-3.5,-0.01,60.50,23489.50,23.3,-2.1,25.4,0.10
"SEP 2012",38799.1,-52.5,-0.14,60.55,23491.90,9.4,-31.8,41.2,0.04
"DIC 2012",38783.1,-98.8,-0.25,60.23,23360.40,-79.9,-59.5,-20.4,-0.34
"MAR 2013",38733.2,-121.0,-0.31,60.18,23308.40,-124.6,-72.8,-51.8,-0.53
"JUN 2013",38680.7,-142.9,-0.37,60.00,23207.90,-281.6,-85.7,-195.9,-1.20
"SEP 2013",38597.3,-201.8,-0.52,60.04,23173.40,-318.5,-121.2,-197.3,-1.36
"DIC 2013",38543.2,-239.9,-0.62,59.86,23070.90,-289.5,-143.6,-145.9,-1.24
"MAR 2014",38483.6,-249.6,-0.64,59.46,22883.90,-424.5,-148.4,-276.1,-1.82
"JUN 2014",38528.1,-152.6,-0.39,59.63,22975.90,-232.0,-91.0,-141.0,-1.00
"SEP 2014",38523.2,-74.1,-0.19,59.53,22931.70,-241.7,-44.1,-197.6,-1.04
"DIC 2014",38523.4,-19.8,-0.05,59.77,23026.80,-44.1,-11.8,-32.3,-0.19
"MAR 2015",38517.2,33.6,0.09,59.45,22899.40,15.5,20.0,-4.5,0.07
"JUN 2015",38496.6,-31.5,-0.08,59.79,23015.50,39.6,-18.8,58.4,0.17
"SEP 2015",38486.8,-36.4,-0.09,59.50,22899.50,-32.2,-21.7,-10.5,-0.14
"DIC 2015",38489.6,-33.8,-0.09,59.43,22873.70,-153.1,-20.1,-133.0,-0.66
