"","IE_4_6.1","IE_4_6.2","IE_4_6.3","IE_4_6.4","IE_4_6.5","IE_4_6.6","IE_4_6.7","IE_4_6.8","IE_4_6.9","IE_4_6.10","IE_4_6.11","IE_4_6.12","IE_4_6.13","IE_4_6.14","IE_4_6.15","IE_4_6.16","IE_4_6.17"
"NÚMERO SECUENCIAL",247814,438334,2339823,2339824,247937,1619322,1707902,1707903,1707904,1707905,2339829,2339830,247945,1707906,1707907,1707908,1707909
"DESCRIPCIÓN DE LA SERIE","Trabajadores afectados.Acumulados desde comienzo del año.Convenios según mes de inicio de efectos económicos","Incremento salarial.Acumulado desde comienzo del año.Convenios según mes de inicio de efectos económicos","Trabajadores afectados.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS antes del año de efectos económicos.DATOS ACUMULADOS.","Trabajadores.Convenios según mes de registro segun mes de registro y año de inicio de efectos economicos FIRMADOS en el año de efectos económicos.DATOS ACUMULADOS.","Trabajadores afectados por convenios.Acumulados desde comienzo del año.Convenios según mes de registro","Trabajadores afectados por convenios.Convenios según mes de registro.Variación interanual","Trabajadores afectados por convenios.Agricultura.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Industria.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Construcción. Acumulados desde comienzo del año.Convenios según mes de registro.","Trabajadores afectados por convenios.Servicios.CNAE-2009.Acumulados desde comienzo del año.Convenios según mes de registro.","Incremento salarial medio pactado.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS antes del año de efectos económicos.DATOS ACUMULADOS.","Incremento salarial medio pactado.Convenios según mes de registro y año de inicio de efectos economicos FIRMADOS en el año de efectos económicos.DATOS ACUMULADOS.","Incremento salarial medio pactado.Convenios según mes de registro.","Agricultura.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Industria.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Construcción.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro.","Servicios.Hasta diciembre 2008, CNAE-1993; desde enero 2009, CNAE-2009.Incremento salarial medio pactado.Convenios según mes de registro."
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Personas","Porcentaje","Personas","Personas","Personas","Personas","Personas","Personas","Personas","Personas","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1982",4581.098,12.26,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1982",4662.397,12.25,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1982",4883.798,12.25,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1982",5439.498,12.15,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1982",5626.698,12.12,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1982",5711.598,12.11,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1982",5927.897,12.10,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1982",5966.797,12.10,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1982",6068.797,12.03,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1982",6243.498,12.02,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1982",6256.797,12.02,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1982",6262.897,12.02,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1983",4676.398,11.59,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1983",4771.599,11.59,"_","_",173228,"_",50440,55242,0,67546,"_","_",11.89,11.55,10.99,"_",12.87
"MAR 1983",4951.599,11.58,"_","_",714869,"_",110440,266861,92575,244993,"_","_",11.54,11.25,11.19,11.18,12.20
"ABR 1983",5438.798,11.54,"_","_",1345439,"_",111675,540033,210074,483657,"_","_",11.63,11.25,11.46,11.20,12.08
"MAY 1983",5710.798,11.55,"_","_",2920651,"_",118876,1701165,294165,806445,"_","_",11.60,11.21,11.55,11.34,11.85
"JUN 1983",5807.898,11.56,"_","_",3983791,"_",186439,2066221,442923,1288208,"_","_",11.60,11.37,11.56,11.30,11.82
"JUL 1983",5946.298,11.49,"_","_",4344163,"_",187146,2244490,444872,1467655,"_","_",11.59,11.37,11.51,11.30,11.82
"AGO 1983",5992.698,11.54,"_","_",4605425,"_",224061,2340570,480587,1560207,"_","_",11.52,11.24,11.42,11.29,11.77
"SEP 1983",6109.198,11.48,"_","_",4894863,"_",224586,2394845,493740,1781692,"_","_",11.51,11.25,11.41,11.31,11.73
"OCT 1983",6203.499,11.44,"_","_",5271342,"_",339810,2539631,496588,1895313,"_","_",11.43,10.13,11.43,11.31,11.69
"NOV 1983",6211.499,11.44,"_","_",5369123,"_",359760,2565241,496736,1947386,"_","_",11.44,10.37,11.42,11.31,11.70
"DIC 1983",6226.298,11.44,"_","_",5444029,"_",365829,2588296,497052,1992852,"_","_",11.50,10.36,11.42,11.31,11.88
"ENE 1984",4720.398,7.81,"_","_",55844,"_",0,1766,0,54078,"_","_",9.32,"_",8.39,"_",9.35
"FEB 1984",4775.798,7.81,"_","_",117736,-55492,0,31168,0,86568,"_","_",9.05,0.00,10.18,"_",8.65
"MAR 1984",4981.198,7.81,"_","_",517959,-196910,3239,363988,2300,148432,"_","_",7.98,8.00,7.89,8.55,8.22
"ABR 1984",5419.898,7.80,"_","_",1326749,-18690,69681,732224,4781,520063,"_","_",7.77,7.81,7.90,8.71,7.59
"MAY 1984",5719.398,7.83,"_","_",2356078,-564573,133042,1220226,177994,824816,"_","_",7.79,7.68,7.89,7.49,7.72
"JUN 1984",5829.798,7.84,"_","_",3227434,-756357,204001,1535279,344940,1143214,"_","_",7.75,7.63,7.77,7.50,7.80
"JUL 1984",5923.098,7.83,"_","_",4295400,-48763,239030,2154734,434745,1466891,"_","_",7.63,7.54,7.65,7.56,7.64
