"","IE_4_7.1","IE_4_7.2","IE_4_7.3","IE_4_7.4","IE_4_7.5","IE_4_7.6","IE_4_7.7","IE_4_7.8","IE_4_7.9","IE_4_7.10","IE_4_7.11","IE_4_7.12","IE_4_7.13"
"NÚMERO SECUENCIAL",1746588,1746589,1746590,1746591,1746592,1746593,1746594,1746595,1746596,1746597,1746598,2716515,2662355
"DESCRIPCIÓN DE LA SERIE","ETCL. Coste laboral total por trabajador y mes","ETCL. Coste laboral total por trabajador y mes. Industria sin construcción. CNAE 2009","ETCL. Coste laboral total por trabajador y mes. Construcción. CNAE 2009","ETCL. Coste laboral total por trabajador y mes. Servicios. CNAE 2009","ETCL. Coste laboral total por hora efectiva","ETCL. Coste salarial total por trabajador y mes","ETCL. Coste salarial total por trabajador y mes. Industria sin construcción. CNAE 2009","ETCL. Coste salarial total por trabajador y mes. Construcción. CNAE 2009","ETCL. Coste salarial total por trabajador y mes. Servicios. CNAE 2009","ETCL. Coste salarial total por hora efectiva","ETCL. Otros costes no salariales por trabajador y mes","Descripción Familia:Encuesta trimestral de costes laborales. Magnitud principal:Índice de Coste Laboral Armonizado (ICLA). Coste laboral armonizado. Magnitud de Referencia:Por hora efectiva. Tipo de Dato:Índice base 2012=100. Tipo de transformación:Datos corregidos de efecto calendario","Índice coste laboral armonizado"
"DESCRIPCIÓN DE LAS UNIDADES","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Euros","Base 2012 = 100","Base 2008 = 100"
"MAR 2000",1693.90,1861.26,1559.76,1654.70,11.41,1264.36,1372.25,1119.85,1251.76,8.52,429.54,60.80,"_"
"JUN 2000",1764.85,1965.62,1693.74,1698.58,12.31,1333.83,1478.94,1246.60,1293.59,9.30,431.02,63.90,"_"
"SEP 2000",1734.62,1934.80,1621.40,1678.50,13.42,1298.22,1445.35,1167.45,1267.04,10.04,436.40,70.60,"_"
"DIC 2000",1883.61,2104.75,1792.59,1814.61,13.41,1444.37,1607.15,1338.46,1401.68,10.28,439.24,69.70,"_"
"MAR 2001",1756.16,1941.64,1632.95,1710.57,11.82,1303.49,1420.28,1162.08,1288.94,8.77,452.67,62.90,3.8
"JUN 2001",1827.17,2046.53,1768.97,1754.20,12.80,1369.61,1526.08,1293.13,1325.28,9.59,457.56,66.50,3.2
"SEP 2001",1810.54,2023.93,1703.29,1751.75,14.04,1347.90,1498.98,1221.92,1317.00,10.45,462.64,74.20,3.4
"DIC 2001",1966.79,2202.17,1863.09,1898.17,14.10,1498.49,1669.22,1373.48,1459.76,10.75,468.30,72.90,3.0
"MAR 2002",1837.27,2024.87,1710.73,1795.84,12.85,1354.62,1479.99,1207.05,1341.63,9.47,482.65,65.90,3.6
"JUN 2002",1907.50,2146.02,1852.41,1830.61,13.07,1422.96,1596.69,1348.40,1374.84,9.75,484.54,70.00,3.2
"SEP 2002",1888.12,2124.26,1798.67,1821.15,14.62,1396.89,1572.16,1279.63,1358.40,10.81,491.23,77.60,3.2
"DIC 2002",2052.20,2308.68,1972.99,1973.72,14.67,1554.54,1749.47,1452.05,1504.41,11.11,497.66,77.30,3.4
"MAR 2003",1940.05,2129.60,1819.98,1897.58,13.37,1422.77,1555.36,1272.50,1408.36,9.81,517.28,70.30,3.1
