"","IE_5_2.1","IE_5_2.2","IE_5_2.3","IE_5_2.4","IE_5_2.5","IE_5_2.6","IE_5_2.7","IE_5_2.8","IE_5_2.9","IE_5_2.10","IE_5_2.11","IE_5_2.12","IE_5_2.13","IE_5_2.14","IE_5_2.15","IE_5_2.16","IE_5_2.17","IE_5_2.18"
"NÚMERO SECUENCIAL",2793005,2793014,2793010,2793019,2793007,2793016,2793008,2793017,2793009,2793018,2793011,2793020,2793012,2793021,2793006,2793015,2793013,2793022
"DESCRIPCIÓN DE LA SERIE","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: INDICE GENERAL. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: INDICE GENERAL. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES (INDICE GENERAL EXCLUIDOS LOS SERVICIOS). PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES (INDICE GENERAL EXCLUIDOS LOS SERVICIOS). PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: Alimentos, bebidas y tabaco. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: Alimentos, bebidas y tabaco. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: Alimentos elaborados, bebidas y tabaco. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: Alimentos elaborados, bebidas y tabaco. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: ALIMENTOS NO ELABORADOS. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: ALIMENTOS NO ELABORADOS. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES INDUSTRIALES. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES INDUSTRIALES. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES INDUSTRIALES NO ENERGÉTICOS. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: BIENES INDUSTRIALES NO ENERGÉTICOS. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: ENERGÍA. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: ENERGÍA. PAIS: UNION MONETARIA EUROPEA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: SERVICIOS. PAIS: ESPAÑA. ","Indices armonizados de precios de consumo . TIPO DE INFORMACIÓN: ÍNDICE ARMONIZADO DE PRECIOS DE CONSUMO. TASA DE VARIACIÓN INTERANUAL.. PERÍODO BASE: Año base 2015. GRUPOS: SERVICIOS. PAIS: UNION MONETARIA EUROPEA. "
"DESCRIPCIÓN DE LAS UNIDADES","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100","Base_2015=100"
"ENE 1996",3.8,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1996",3.6,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1996",3.3,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1996",3.4,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1996",3.8,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1996",3.6,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1996",3.7,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
