"","IE_6_1.1","IE_6_1.2","IE_6_1.3","IE_6_1.4","IE_6_1.5","IE_6_1.6"
"NÚMERO SECUENCIAL",2365578,2338599,2332439,2338601,2365578,2338603
"DESCRIPCIÓN DE LA SERIE","ADMINISTRACIONES TERRITORIALES                           ","PDE2010.AAPP.AACC.CAPACIDAD O NECESIDAD DE FINANCIACION SEGUN PDE","SEC2010.AAPP.ESTADO.OP NO FINANCIERAS.CAPACIDAD O NECESIDAD DE FINANCIACION","PDE2010.AAPP.CCAA.CAPACIDAD O NECESIDAD DE FINANCIACION SEGUN PDE","ADMINISTRACIONES TERRITORIALES                           ","PDE2010.AAPP.AASS.CAPACIDAD O NECESIDAD DE FINANCIACION SEGUN PDE"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 2004","_","_","_",0,"_","_"
"ENE 2005","_","_","_",0,"_","_"
"FEB 2005","_","_","_",0,"_","_"
"MAR 2005","_","_","_",0,"_","_"
"ABR 2005","_","_","_",0,"_","_"
"MAY 2005","_","_","_",0,"_","_"
"JUN 2005","_","_","_",0,"_","_"
"JUL 2005","_","_","_",0,"_","_"
"AGO 2005","_","_","_",0,"_","_"
"SEP 2005","_","_","_",0,"_","_"
"OCT 2005","_","_","_",0,"_","_"
"NOV 2005","_","_","_",0,"_","_"
"DIC 2005","_","_","_",0,"_","_"
"ENE 2006","_","_","_",0,"_","_"
"FEB 2006","_","_","_",0,"_","_"
"MAR 2006","_","_","_",0,"_","_"
"ABR 2006","_","_","_",0,"_","_"
"MAY 2006","_","_","_",0,"_","_"
"JUN 2006","_","_","_",0,"_","_"
"JUL 2006","_","_","_",0,"_","_"
"AGO 2006","_","_","_",0,"_","_"
"SEP 2006","_","_","_",0,"_","_"
"OCT 2006","_","_","_",0,"_","_"
"NOV 2006","_","_","_",0,"_","_"
"DIC 2006","_","_","_",0,"_","_"
"ENE 2007","_","_","_",0,"_","_"
"FEB 2007","_","_","_",0,"_","_"
"MAR 2007","_","_","_",0,"_","_"
