"","IE_6_2.1","IE_6_2.2","IE_6_2.3","IE_6_2.4","IE_6_2.5","IE_6_2.6","IE_6_2.7","IE_6_2.8","IE_6_2.9","IE_6_2.10","IE_6_2.11","IE_6_2.12","IE_6_2.13","IE_6_2.14"
"NÚMERO SECUENCIAL",2359317,2332388,2324922,2324345,2324348,2327192,2359319,2359320,2324955,2359307,2359311,2359313,2359314,2359315
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.ESTADO.DEUDA SEGUN PDE.TOTAL","SEC2010.AAPP.ORGANISMOS DE LA ADMINISTRACION CENTRAL.DEUDA SEGUN PDE.TOTAL PASIVOS","ADMINISTRACIONES PÚBLICAS . COMUNIDADES AUTÓNOMAS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PASIVOS. ","ADMINISTRACIONES PÚBLICAS . CORPORACIONES LOCALES. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL . ","PDE2010.AAPP.AASS.DEUDA SEGUN PDE.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.DEUDA EN PODER DE AAPP.","PDE2010.AAPP.DEUDA SEGUN PDE.EFECTIVO Y DEPOSITOS","PDE2010.ADMINISTRACIONES PÚBLICAS.VALORES DISTINTOS DE ACCIONES.TOTAL","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.PRESTAMOS A LARGO PLAZO"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 1994",249507617,207140004,2193976,21852040,16908024,7267799,5854224,2147152,188828478,70997232,117831246,58531985,6637806,51894180
"ENE 1995",252883963,207914574,2531044,23317960,17055002,8364698,6299316,2158803,185632669,67301448,118331221,65092490,7066221,58026268
"FEB 1995",259551133,214231993,2693035,23411432,17149292,8587247,6521864,2152474,192560236,72908624,119651612,64838423,6890988,57947436
"MAR 1995",261635995,214800872,3484347,23796256,17489136,8809796,6744414,2176087,193363934,69695216,123668718,66095971,7007981,59087992
"ABR 1995",259938841,213797676,2704739,24085346,17659768,8658268,6966956,2184043,192912752,69184968,123727784,64842043,6695278,58146764
"MAY 1995",262989631,216018532,2788019,24788450,17703318,8880817,7189505,2198734,195730945,69552064,126178881,65059953,6554274,58505680
"JUN 1995",272563275,224778706,3333535,24750748,18008974,9103366,7412054,2286778,205042489,74549208,130493281,65234010,6969539,58264472
