"","IE_7_2.1","IE_7_2.2","IE_7_2.3","IE_7_2.4","IE_7_2.5","IE_7_2.6","IE_7_2.7","IE_7_2.8","IE_7_2.9","IE_7_2.10","IE_7_2.11","IE_7_2.12","IE_7_2.13","IE_7_2.14","IE_7_2.15","IE_7_2.16"
"NÚMERO SECUENCIAL",2386887,2386889,2386894,2386913,2386914,2386895,2408038,2408040,2386896,2408037,2408039,2386897,2386888,2386898,2386899,2386900
"DESCRIPCIÓN DE LA SERIE","CF. Neto (VNA-VNP)","CF.  Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión directa. VNA","CF. Inversión directa.VNP","CF. Inversión de cartera. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNA","CF. Inversión de cartera. Total sectores excluido el Banco de España. VNP","CF. Otra inversión. Total sectores excluido el Banco de España. Neto (VNA-VNP)","CF. Otra inversión. Total sectores excluido el Banco de España. VNA","CF. Otra inversión. Total sectores excluido el Banco de España. VNP","CF. Derivados finan. y opciones de compra de acciones. Total sectores excluido el BE. Neto","CF.  Banco de España. Neto (VNA-VNP)","CF. Activos de reserva. Todas las monedas excepto moneda nacional. Banco de España. VNA","CF. Activos netos del Banco de España frente al Eurosistema. Banco de España. Neto (VNA-VNP)","CF. Otros activos netos del Banco de España. Neto (VNA-VNP)"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"ENE 1993",-252,-2229,-339,258,597,-1240,44,1284,88,-865,-953,-737,1977,1905,0,71
"FEB 1993",-830,959,-418,168,586,-4480,91,4570,5273,8305,3032,583,-1789,-1740,0,-49
"MAR 1993",-929,1157,-233,439,673,-2429,1186,3615,3803,2528,-1275,15,-2085,-2020,0,-65
"ABR 1993",-1093,1706,-791,145,935,-3499,37,3536,6309,9356,3047,-313,-2799,-2899,0,100
"MAY 1993",-174,-505,-337,186,523,-6393,712,7105,5690,9519,3829,535,331,301,0,30
"JUN 1993",-598,-1525,-867,121,988,-5844,-317,5527,4074,6608,2534,1112,927,922,0,5
"JUL 1993",157,-297,-533,118,651,-4660,618,5278,3369,2776,-592,1528,453,481,0,-27
"AGO 1993",642,1588,-203,122,325,-5559,649,6208,7017,8566,1549,332,-946,-983,0,37
"SEP 1993",-478,-457,-263,163,426,5230,1050,-4180,-4121,-3307,815,-1303,-21,-26,0,5
"OCT 1993",-110,-214,-348,304,653,-2239,292,2532,2402,1669,-733,-28,104,124,0,-20
"NOV 1993",334,273,254,747,493,932,271,-661,-932,2558,3491,20,62,50,0,11
"DIC 1993",-5,-150,-816,559,1374,-6366,445,6811,6638,6278,-360,394,144,150,0,-6
"ENE 1994",-342,-177,-439,-151,288,-5450,-493,4957,5492,235,-5257,220,-165,-181,0,16
"FEB 1994",-275,-191,-590,27,617,3490,1508,-1982,-3110,-4224,-1114,19,-84,-82,0,-2
"MAR 1994",-1094,-847,-242,208,450,6453,408,-6045,-6779,-5101,1678,-279,-247,-259,0,12
"ABR 1994",-155,-66,-853,166,1018,4838,400,-4438,-4140,-4127,13,89,-90,-83,0,-7
"MAY 1994",-20,359,819,1697,877,1146,-836,-1983,-1710,2013,3723,103,-379,-379,0,-0
"JUN 1994",-152,-79,-768,509,1277,3384,-327,-3711,-2720,230,2950,26,-73,-55,0,-18
"JUL 1994",-606,-1153,-434,118,552,-961,440,1400,197,2557,2360,44,547,543,0,4
"AGO 1994",1199,1067,-71,187,258,6995,274,-6720,-6058,-1663,4394,201,132,137,0,-6
"SEP 1994",-1025,-860,-18,102,120,-419,-765,-346,-7,-2275,-2269,-417,-164,-169,0,5
"OCT 1994",-595,-907,-191,118,309,-977,424,1401,470,755,284,-209,312,330,0,-17
"NOV 1994",-559,-398,-487,64,551,17,112,94,-64,1340,1404,135,-161,-191,0,29
"DIC 1994",6,-300,-885,-111,775,-283,94,377,914,2285,1371,-46,307,345,0,-38
"ENE 1995",-235,-41,-441,20,461,1292,-182,-1475,-1122,2253,3375,230,-194,-278,0,83
"FEB 1995",-764,1297,-503,98,601,-54,-109,-55,1650,1151,-499,204,-2061,-2047,0,-14
"MAR 1995",-691,2885,-132,300,432,-247,-301,-54,3164,3731,567,100,-3576,-3577,0,1
"ABR 1995",-650,352,-736,2,738,72,562,490,942,-3776,-4718,74,-1002,-998,0,-4
"MAY 1995",-235,-750,-306,301,607,-5010,-178,4832,4609,5626,1017,-44,516,512,0,3
"JUN 1995",183,-13,229,1144,915,-1916,630,2547,1698,736,-962,-24,196,183,0,13
"JUL 1995",1012,864,-280,116,395,-1796,54,1851,2803,4160,1358,137,149,184,0,-35
"AGO 1995",1363,1182,-10,262,272,1793,178,-1615,-717,-2576,-1860,116,180,165,0,15
"SEP 1995",-715,-888,-65,432,497,-2791,-471,2320,2129,5700,3571,-161,172,220,0,-48
"OCT 1995",-118,-172,-301,-88,213,-920,-545,375,1269,2489,1220,-221,54,89,0,-35
"NOV 1995",383,171,21,315,294,-2238,401,2640,2294,4139,1845,93,212,165,0,47
"DIC 1995",814,507,-29,741,770,-3730,289,4019,4327,4131,-196,-61,307,296,0,11
"ENE 1996",-353,-1471,-121,324,445,-3151,566,3717,1668,2840,1172,133,1118,1096,0,23
"FEB 1996",-361,-2207,78,701,623,2951,191,-2760,-5145,-4514,631,-91,1846,1833,0,14
"MAR 1996",-256,-2976,-140,225,365,-1348,-178,1170,-1718,-1395,323,230,2719,2723,0,-4
"ABR 1996",-219,-3679,-597,62,658,2035,738,-1297,-5290,-2630,2660,172,3460,3464,0,-4
"MAY 1996",-318,-2749,-545,178,723,910,-81,-990,-3308,-1161,2147,195,2430,2430,0,1
"JUN 1996",310,-37,-373,490,863,-1200,-120,1080,1435,-1001,-2437,101,347,341,0,6
"JUL 1996",535,-282,112,529,417,508,126,-383,-1053,2398,3450,150,818,821,0,-4
"AGO 1996",1399,1099,229,696,468,7478,22,-7455,-6513,-3697,2816,-95,300,294,0,6
"SEP 1996",496,-583,-416,91,507,-7850,-530,7321,7681,6674,-1007,1,1080,1068,0,11
"OCT 1996",-367,-1541,-580,274,854,-2379,160,2539,1680,4328,2648,-261,1173,1195,0,-21
