"","IE_7_8.1","IE_7_8.2","IE_7_8.3","IE_7_8.4","IE_7_8.5","IE_7_8.6","IE_7_8.7"
"NÚMERO SECUENCIAL",699644,2418519,699648,699649,699650,2418554,252356
"DESCRIPCIÓN DE LA SERIE","Activos de reserva. ","Activos de reserva. Divisas convertibles ","Activos de reserva. Posicion de reserva en el FMI ","Activos de reserva. Deg ","Activos de reserva. Oro monetario","Otros activos de Reserva","PII. Activos de reserva. Oro en miles de onzas troy  "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Onzas troy"
"ENE 1957","_","_","_","_","_","_",3771
"FEB 1957","_","_","_","_","_","_",3771
"MAR 1957","_","_","_","_","_","_",3771
"ABR 1957","_","_","_","_","_","_",3771
"MAY 1957","_","_","_","_","_","_",3771
"JUN 1957","_","_","_","_","_","_",3771
"JUL 1957","_","_","_","_","_","_",3771
"AGO 1957","_","_","_","_","_","_",3771
"SEP 1957","_","_","_","_","_","_",3771
"OCT 1957","_","_","_","_","_","_",3486
"NOV 1957","_","_","_","_","_","_",3200
"DIC 1957","_","_","_","_","_","_",2886
"ENE 1958","_","_","_","_","_","_",2886
"FEB 1958","_","_","_","_","_","_",2886
"MAR 1958","_","_","_","_","_","_",2886
"ABR 1958","_","_","_","_","_","_",2886
"MAY 1958","_","_","_","_","_","_",2886
"JUN 1958","_","_","_","_","_","_",2886
"JUL 1958","_","_","_","_","_","_",2886
"AGO 1958","_","_","_","_","_","_",2886
"SEP 1958","_","_","_","_","_","_",2886
"OCT 1958","_","_","_","_","_","_",2886
"NOV 1958","_","_","_","_","_","_",1686
"DIC 1958","_","_","_","_","_","_",2657
"ENE 1959","_","_","_","_","_","_",1629
"FEB 1959","_","_","_","_","_","_",1629
"MAR 1959","_","_","_","_","_","_",1629
"ABR 1959","_","_","_","_","_","_",1629
"MAY 1959","_","_","_","_","_","_",1629
"JUN 1959","_","_","_","_","_","_",1629
"JUL 1959","_","_","_","_","_","_",1629
"AGO 1959","_","_","_","_","_","_",1629
"SEP 1959","_","_","_","_","_","_",1629
"OCT 1959","_","_","_","_","_","_",1629
"NOV 1959","_","_","_","_","_","_",1629
"DIC 1959","_","_","_","_","_","_",1943
"ENE 1960","_","_","_","_","_","_",2229
"FEB 1960","_","_","_","_","_","_",2229
"MAR 1960","_","_","_","_","_","_",2229
"ABR 1960","_","_","_","_","_","_",2229
"MAY 1960","_","_","_","_","_","_",2229
"JUN 1960","_","_","_","_","_","_",2229
"JUL 1960","_","_","_","_","_","_",2229
"AGO 1960","_","_","_","_","_","_",2514
"SEP 1960","_","_","_","_","_","_",2800
"OCT 1960","_","_","_","_","_","_",3943
"NOV 1960","_","_","_","_","_","_",4514
"DIC 1960","_","_","_","_","_","_",5086
"ENE 1961","_","_","_","_","_","_",5400
"FEB 1961","_","_","_","_","_","_",5857
"MAR 1961","_","_","_","_","_","_",5857
"ABR 1961","_","_","_","_","_","_",5857
"MAY 1961","_","_","_","_","_","_",5857
"JUN 1961","_","_","_","_","_","_",6200
"JUL 1961","_","_","_","_","_","_",6971
"AGO 1961","_","_","_","_","_","_",7857
"SEP 1961","_","_","_","_","_","_",7857
"OCT 1961","_","_","_","_","_","_",8343
"NOV 1961","_","_","_","_","_","_",8629
"DIC 1961","_","_","_","_","_","_",8057
"ENE 1962","_","_","_","_","_","_",9471
"FEB 1962","_","_","_","_","_","_",9757
"MAR 1962","_","_","_","_","_","_",10034
"ABR 1962","_","_","_","_","_","_",10746
"MAY 1962","_","_","_","_","_","_",11423
"JUN 1962","_","_","_","_","_","_",11703
"JUL 1962","_","_","_","_","_","_",12269
"AGO 1962","_","_","_","_","_","_",12263
"SEP 1962","_","_","_","_","_","_",12257
"OCT 1962","_","_","_","_","_","_",12529
"NOV 1962","_","_","_","_","_","_",12486
"DIC 1962","_","_","_","_","_","_",12757
"ENE 1963","_","_","_","_","_","_",13597
"FEB 1963","_","_","_","_","_","_",14151
"MAR 1963","_","_","_","_","_","_",14703
"ABR 1963","_","_","_","_","_","_",15242
"MAY 1963","_","_","_","_","_","_",15797
"JUN 1963","_","_","_","_","_","_",16414
"JUL 1963","_","_","_","_","_","_",16400
"AGO 1963","_","_","_","_","_","_",16397
"SEP 1963","_","_","_","_","_","_",16406
"OCT 1963","_","_","_","_","_","_",16371
"NOV 1963","_","_","_","_","_","_",16371
"DIC 1963","_","_","_","_","_","_",16377
"ENE 1964","_","_","_","_","_","_",16363
"FEB 1964","_","_","_","_","_","_",16366
"MAR 1964","_","_","_","_","_","_",16369
"ABR 1964","_","_","_","_","_","_",16366
"MAY 1964","_","_","_","_","_","_",16377
"JUN 1964","_","_","_","_","_","_",16434
"JUL 1964","_","_","_","_","_","_",16486
"AGO 1964","_","_","_","_","_","_",16466
"SEP 1964","_","_","_","_","_","_",16460
"OCT 1964","_","_","_","_","_","_",16437
"NOV 1964","_","_","_","_","_","_",16460
"DIC 1964","_","_","_","_","_","_",17589
"ENE 1965","_","_","_","_","_","_",18471
"FEB 1965","_","_","_","_","_","_",19346
"MAR 1965","_","_","_","_","_","_",20189
"ABR 1965","_","_","_","_","_","_",21006
"MAY 1965","_","_","_","_","_","_",22286
"JUN 1965","_","_","_","_","_","_",22286
"JUL 1965","_","_","_","_","_","_",23143
"AGO 1965","_","_","_","_","_","_",23146
"SEP 1965","_","_","_","_","_","_",23146
"OCT 1965","_","_","_","_","_","_",23146
"NOV 1965","_","_","_","_","_","_",23146
"DIC 1965","_","_","_","_","_","_",23146
"ENE 1966","_","_","_","_","_","_",23146
"FEB 1966","_","_","_","_","_","_",23146
"MAR 1966","_","_","_","_","_","_",22434
"ABR 1966","_","_","_","_","_","_",22434
"MAY 1966","_","_","_","_","_","_",22434
"JUN 1966","_","_","_","_","_","_",22434
"JUL 1966","_","_","_","_","_","_",22434
"AGO 1966","_","_","_","_","_","_",22434
"SEP 1966","_","_","_","_","_","_",22437
"OCT 1966","_","_","_","_","_","_",22437
"NOV 1966","_","_","_","_","_","_",22437
"DIC 1966","_","_","_","_","_","_",22437
"ENE 1967","_","_","_","_","_","_",22414
"FEB 1967","_","_","_","_","_","_",22414
"MAR 1967","_","_","_","_","_","_",22414
