"","IE_7_9.1","IE_7_9.2","IE_7_9.3","IE_7_9.4","IE_7_9.5","IE_7_9.6","IE_7_9.7","IE_7_9.8","IE_7_9.9","IE_7_9.10","IE_7_9.11","IE_7_9.12","IE_7_9.13","IE_7_9.14","IE_7_9.15","IE_7_9.16","IE_7_9.17","IE_7_9.18","IE_7_9.19","IE_7_9.20","IE_7_9.21","IE_7_9.22","IE_7_9.23","IE_7_9.24"
"NÚMERO SECUENCIAL",2417208,2417219,2387014,2417220,2387010,2417221,2417222,2417223,2417224,2417210,2417225,2417226,2417227,2417228,2417229,2417230,2387016,2417231,2387012,2417232,2386998,2417233,2417234,2417235
"DESCRIPCIÓN DE LA SERIE","CF.  Deuda externa bruta. Stocks. VNP","CF. Deuda externa bruta.  Administraciones Públicas. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo. Administraciones Públicas. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. Administraciones Públicas. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo. Administraciones Públicas. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Largo plazo. Administraciones Públicas. Stocks. VNP","CF. Deuda externa bruta.  Instituciones financieras monetarias excluido el Banco de España. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Corto plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. IFM excluido el Banco de España. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Largo plazo.  IFM excluido el Banco de España. Stocks. VNP","CF. Deuda externa bruta.  Banco de España. Stocks. VNP","CF. Otra inversión. Moneda y depósitos. Corto plazo. Banco de España. Stocks. VNP","CF. Otra inversión. Derechos especiales de giro. Stocks. VNP","CF. Deuda externa bruta.  Otros sectores residentes. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a corto plazo. Otros sectores residentes. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Corto plazo. Otros sectores residentes. Stocks. VNP","CF. Inversión de cartera. Títulos de deuda a largo plazo. Otros sectores residentes. Stocks. VNP","CF. Préstamos, créditos comerciales y otros pasivos. Largo plazo. Otros sectores residentes. Stocks. VNP","CF. Inversión directa. Instrumentos de deuda. Stocks. VNP","CF. Inversor directo en empresa de inversión directa. Instrumentos de deuda. Stocks. VNP","CF. Empresa de inversión directa en inversor directo. Instrumentos de deuda. Stocks. VNP","CF. Inversión directa entre empresas emparentada. Instrumentos de deuda. Stocks. VNP"
"DESCRIPCIÓN DE LAS UNIDADES","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros","Millones de Euros"
"DIC 1992","_","_",1591,"_",20160,"_","_","_","_","_","_","_","_","_","_","_",216,"_",2376,"_","_","_","_","_"
"MAR 1993","_","_",972,"_",30522,"_","_","_","_","_","_","_","_","_","_","_",215,"_",2412,"_",10289,"_","_","_"
"JUN 1993","_","_",1186,"_",45121,"_","_","_","_","_","_","_","_","_","_","_",243,"_",2784,"_",11605,"_","_","_"
"SEP 1993","_","_",1812,"_",51767,"_","_","_","_","_","_","_","_","_","_","_",219,"_",2748,"_",12032,"_","_","_"
"DIC 1993","_","_",1920,"_",62394,"_","_","_","_","_","_","_","_","_","_","_",192,"_",2868,"_",13438,"_","_","_"
"MAR 1994","_","_",1290,"_",56111,"_","_","_","_","_","_","_","_","_","_","_",172,"_",2771,"_",13383,"_","_","_"
"JUN 1994","_","_",666,"_",47431,"_","_","_","_","_","_","_","_","_","_","_",167,"_",2889,"_",13515,"_","_","_"
"SEP 1994","_","_",790,"_",39744,"_","_","_","_","_","_","_","_","_","_","_",170,"_",3157,"_",13151,"_","_","_"
"DIC 1994","_","_",1076,"_",40481,"_","_","_","_","_","_","_","_","_","_","_",198,"_",3298,"_",13284,"_","_","_"
"MAR 1995","_","_",1760,"_",39126,"_","_","_","_","_","_","_","_","_","_","_",195,"_",3528,"_",13806,"_","_","_"
"JUN 1995","_","_",2648,"_",44160,"_","_","_","_","_","_","_","_","_","_","_",170,"_",3664,"_",14185,"_","_","_"
"SEP 1995","_","_",2749,"_",46901,"_","_","_","_","_","_","_","_","_","_","_",175,"_",3632,"_",14040,"_","_","_"
"DIC 1995","_","_",2354,"_",55140,"_","_","_","_","_","_","_","_","_","_","_",175,"_",3376,"_",14293,"_","_","_"
"MAR 1996","_","_",1683,"_",56570,"_","_","_","_","_","_","_","_","_","_","_",179,"_",3443,"_",14400,"_","_","_"
"JUN 1996","_","_",1557,"_",57861,"_","_","_","_","_","_","_","_","_","_","_",188,"_",3331,"_",14436,"_","_","_"
"SEP 1996","_","_",2107,"_",57994,"_","_","_","_","_","_","_","_","_","_","_",184,"_",3589,"_",14924,"_","_","_"
