"","IE_8_1.1","IE_8_1.2","IE_8_1.3","IE_8_1.4","IE_8_1.5","IE_8_1.6","IE_8_1.7","IE_8_1.8","IE_8_1.9","IE_8_1.10","IE_8_1.11","IE_8_1.12","IE_8_1.13","IE_8_1.14","IE_8_1.15","IE_8_1.16","IE_8_1.17","IE_8_1.18","IE_8_1.19","IE_8_1.20","IE_8_1.21","IE_8_1.22","IE_8_1.23","IE_8_1.24","IE_8_1.25","IE_8_1.26","IE_8_1.27","IE_8_1.28"
"NÚMERO SECUENCIAL",662210,662293,662294,662295,662211,662212,662213,662214,662296,662215,662216,662217,662298,662031,662032,662033,662034,662035,662036,662037,662044,662045,662038,662039,662040,662041,662042,662046
"DESCRIPCIÓN DE LA SERIE","Balance del Eurosistema. Prestamo neto. Total","Balance del Eurosistema. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Eurosistema. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Eurosistema. Prestamo neto. OMA. Operaciones estructurales","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Crédito","Balance del Eurosistema. Prestamo neto. Facilidades Marginal de Deposito","Balance del Eurosistema. Contrapartidas. Total","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Billetes","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Eurosistema. Contrapartidas. Factores Autonomos.Resto activos","Balance del Eurosistema. Contrapartidas. Reservas Mantenidas por Entidades de Crédito","Balance del Banco de España. Prestamo neto. Total","Balance del Banco de España. Prestamo neto. OMA. Operaciones Principales de Financiación","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Financiación a largo plazo","Balance del Banco de España. Prestamo neto. OMA. Operaciones de Ajuste","Balance del Banco de España. Prestamo neto. OMA. Operaciones estructurales","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Crédito","Balance del Banco de España. Prestamo neto. Facilidades Marginal de Deposito","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros.Frente a residentes en la UEM. Target","Balance del Banco de España. Contrapartidas. Otros Pasivos Netos en Euros. Resto","Balance del Banco de España. Contrapartidas. Total","Balance del Banco de España. Contrapartidas. Factores Autonomos.Billetes","Balance del Banco de España. Contrapartidas. Factores Autonomos.Depósitos AAPP","Balance del Banco de España. Contrapartidas. Factores Autonomos.Oro y Activos Netos en Moneda Extranjera","Balance del Banco de España. Contrapartidas. Factores Autonomos.Resto activos","Balance del Banco de España. Contrapartidas. Reservas Mantenidas por Entidades de Crédito"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"ENE 1999",156429008,127605760,35894956,319600,-11775552,6561600,2177350,56535800,330775488,36116000,329770560,-19414872,99893208,7053300,9807100,2900400,0,-6346000,1032750,340950,-11063051,-4801950,14323951,50624148,13545199,46966804,2878592,8594350
"FEB 1999",164399760,129963192,44993812,-6400,-11650000,1675900,576750,60358200,325573792,46303604,326299584,-14780388,104041560,4972200,6552700,4767600,0,-6346000,2900,5000,-20744300,-4892000,22597900,49621956,19490154,45841604,672606,8010600
"MAR 1999",170791504,138234320,45001700,0,-11585130,427957,1287348,68593976,327306368,51309868,323142752,-13120492,102197528,7081785,9532741,3877652,0,-6281130,2217,49696,-15031085,-4892000,19055478,50093956,17696174,43747040,4987612,7949392
"ABR 1999",159378112,124055400,44994444,0,-10158000,677636,191364,58034120,331284576,38500944,343573280,-31821880,101343992,5121864,7254092,2722909,0,-4854000,1682,2818,-19838088,-4892000,21635042,50490452,15928271,43501268,1282413,8216910
"MAY 1999",159497872,124585160,44987616,0,-10157999,351381,268286,57607064,335062432,36189720,341857952,-28212864,101890808,7327572,8824000,3357857,0,-4854000,238,524,-24387000,-4892000,28751334,50791144,18548290,39994192,593908,7855238
"JUN 1999",164981552,130562696,44996628,0,-10158000,381909,801682,64636728,337651488,40054960,339456512,-26386792,100344824,7180317,8683226,3393000,0,-4854000,0,41909,-23292954,-4892000,27563452,51632900,18140772,37072268,5137952,7801818
"JUL 1999",185040544,150354752,44996920,0,-10157999,528818,681955,80628648,343144256,49885544,343065152,-30664000,104411896,9490727,11106136,3319637,0,-4854000,0,81045,-22786228,-4892000,28605092,53059856,13759318,37349500,864582,8563864
