"","IE_8_3.1","IE_8_3.2","IE_8_3.3","IE_8_3.4","IE_8_3.5","IE_8_3.6","IE_8_3.7","IE_8_3.8","IE_8_3.9","IE_8_3.10"
"NÚMERO SECUENCIAL",1656407,1656408,1656409,1656410,1656411,1656412,1656413,1656414,1656415,1656416
"DESCRIPCIÓN DE LA SERIE","Medios de pago de las sociedades no financieras","Medios de pago de las sociedades no financieras. Tasa de variación interanual","Otros pasivos de entidades de crédito en poder de las sociedades no financieras","Otros pasivos de entidades de crédito en poder de las sociedades no financieras. Tasa de variación interanual","Otros depósitos mantenidos por las sociedades no financieras. Tasa de variación interanual","Cesiones temporales, valores de entidades de crédito y depósitos en sucursales en el extranjero en poder de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión residentes de las sociedades no financieras","Participaciones en fondos de inversión residentes de las sociedades no financieras. Tasa de variación interanual","Participaciones en fondos de inversión de renta fija en euros de las sociedades no financieras. Tasa de variación interanual","Participaciones en resto de fondos de inversión de las sociedades no financieras. Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Miles de Euros","Porcentaje","Porcentaje","Porcentaje"
"DIC 1994",26320862,"_",26992992,"_","_","_","_","_","_","_"
"ENE 1995",24645486,"_",26800220,"_","_","_","_","_","_","_"
"FEB 1995",24675005,"_",26960092,"_","_","_","_","_","_","_"
"MAR 1995",24693910,"_",27290128,"_","_","_","_","_","_","_"
"ABR 1995",24630908,"_",27345542,"_","_","_","_","_","_","_"
"MAY 1995",25442665,"_",27762480,"_","_","_","_","_","_","_"
"JUN 1995",26799188,"_",27878590,"_","_","_","_","_","_","_"
"JUL 1995",26274266,"_",27715834,"_","_","_","_","_","_","_"
"AGO 1995",25374545,"_",28311852,"_","_","_","_","_","_","_"
"SEP 1995",26228755,"_",28458404,"_","_","_","_","_","_","_"
"OCT 1995",25320765,"_",28378032,"_","_","_","_","_","_","_"
"NOV 1995",26007326,"_",29100974,"_","_","_","_","_","_","_"
"DIC 1995",27263634,3.58,29418886,8.99,5.37,10.08,"_","_","_","_"
"ENE 1996",25825402,4.79,30034316,12.07,6.12,13.95,"_","_","_","_"
"FEB 1996",26168420,6.05,30296818,12.38,6.62,14.25,"_","_","_","_"
"MAR 1996",27430278,11.08,30766152,12.74,6.92,14.65,"_","_","_","_"
"ABR 1996",27313591,10.89,30408750,11.20,6.15,12.86,"_","_","_","_"
"MAY 1996",27702436,8.88,30613334,10.27,5.13,11.92,"_","_","_","_"
"JUN 1996",30078473,12.24,30358386,8.89,4.11,10.41,"_","_","_","_"
"JUL 1996",28956367,10.21,30284764,9.27,4.66,10.73,"_","_","_","_"
"AGO 1996",28693115,13.08,30701976,8.44,4.99,9.51,"_","_","_","_"
"SEP 1996",29710493,13.27,31362414,10.20,5.47,11.65,"_","_","_","_"
"OCT 1996",28659744,13.19,31431532,10.76,1.04,13.73,"_","_","_","_"
"NOV 1996",29298488,12.65,31460742,8.11,-3.32,11.47,"_","_","_","_"
"DIC 1996",30486716,11.82,31752792,7.93,-8.27,12.62,"_","_","_","_"
"ENE 1997",29666841,14.87,33078084,10.98,-8.41,16.77,"_","_","_","_"
"FEB 1997",30714418,17.37,33445184,11.25,-8.40,17.27,"_","_","_","_"
"MAR 1997",31610131,15.24,34202500,11.93,-7.31,17.90,"_","_","_","_"
"ABR 1997",31207266,14.26,34170764,13.14,-8.17,19.77,"_","_","_","_"
"MAY 1997",31961879,15.38,34795488,14.50,-9.37,21.77,"_","_","_","_"
"JUN 1997",35648525,18.52,34794616,15.42,-10.34,23.19,"_","_","_","_"
"JUL 1997",33608777,16.07,34461264,14.62,-11.75,22.61,"_","_","_","_"
"AGO 1997",33404114,16.42,33643940,10.42,-14.42,17.86,"_","_","_","_"
"SEP 1997",34341140,15.59,34495248,10.75,-16.17,18.58,"_","_","_","_"
"OCT 1997",33959418,18.49,35213800,12.88,-9.83,19.11,"_","_","_","_"
"NOV 1997",35160492,20.01,37092016,18.83,-2.31,24.27,"_","_","_","_"
"DIC 1997",37740103,23.79,36873116,16.84,6.69,19.24,15629762,"_","_","_"
"ENE 1998",35893971,20.99,37221140,12.53,2.48,14.88,16968748,"_","_","_"
"FEB 1998",39014718,27.02,35817836,7.09,-1.39,9.13,18262960,"_","_","_"
"MAR 1998",38571606,22.02,34130456,-0.21,-6.25,1.26,19844496,"_","_","_"
"ABR 1998",37832249,21.23,33387684,-2.29,-3.06,-2.11,20226308,"_","_","_"
"MAY 1998",40295076,26.07,34594588,-0.58,1.83,-1.12,20594484,"_","_","_"
"JUN 1998",41162011,15.47,37352476,7.35,6.25,7.59,20883190,"_","_","_"
"JUL 1998",40880775,21.64,35998172,4.46,3.97,4.57,21076546,"_","_","_"
"AGO 1998",40619060,21.60,34607404,2.86,3.44,2.74,20561256,"_","_","_"
"SEP 1998",41948487,22.15,34458568,-0.11,1.86,-0.51,20334050,"_","_","_"
"OCT 1998",40514176,19.30,33445926,-5.02,3.09,-6.70,21279902,"_","_","_"
"NOV 1998",43600713,24.00,32482692,-12.43,6.39,-16.23,22477606,"_","_","_"
"DIC 1998",45615183,20.87,31485236,-14.61,6.70,-19.14,23108068,47.85,0.53,98.57
"ENE 1999",45417849,26.53,31004326,-16.70,11.84,-22.66,23364256,37.69,-1.56,74.78
"FEB 1999",44050531,12.91,31083792,-13.22,14.11,-19.13,23611704,29.29,-1.85,55.46
"MAR 1999",45101303,16.93,30763168,-9.87,19.91,-16.59,23752722,19.69,-1.56,35.07
"ABR 1999",45326318,19.81,30327556,-9.17,17.46,-15.46,24475986,21.01,-0.84,36.09
"MAY 1999",47264801,17.30,31341884,-9.40,14.24,-14.92,24983690,21.31,-1.16,36.31
"JUN 1999",50507201,22.70,30407398,-18.59,13.33,-25.52,25362912,21.45,-2.06,36.45
"JUL 1999",49775561,21.76,29337528,-18.50,19.85,-26.82,25150390,19.33,-4.43,34.24
"AGO 1999",48188050,18.63,29721092,-14.12,24.86,-22.65,25374878,23.41,-5.92,42.87
"SEP 1999",49027864,16.88,29751836,-13.66,30.44,-22.95,25288968,24.37,-9.24,47.38
"OCT 1999",47872160,18.16,30467364,-8.91,31.73,-18.22,25814368,21.31,-12.46,42.93
"NOV 1999",48453590,11.13,32706932,0.69,29.98,-6.84,26674674,18.67,-14.58,38.42
"DIC 1999",49719824,9.00,34557728,9.76,30.82,3.86,27553270,19.24,-13.72,37.13
"ENE 2000",48938818,7.75,34959928,12.76,31.26,7.17,27126042,16.10,-20.18,35.41
