"","IE_8_8.1","IE_8_8.2","IE_8_8.3","IE_8_8.4","IE_8_8.5","IE_8_8.6","IE_8_8.7","IE_8_8.8","IE_8_8.9","IE_8_8.10","IE_8_8.11","IE_8_8.12","IE_8_8.13","IE_8_8.14","IE_8_8.15"
"NÚMERO SECUENCIAL",2359317,2359316,2359318,2359307,2359306,2359309,2359308,2359311,2359310,2359322,2359321,2377146,2377155,2377147,2377148
"DESCRIPCIÓN DE LA SERIE","PDE2010.AAPP.DEUDA SEGUN PDE.TOTAL ","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA SEGUN PDE ","PDE2010.AAPP.DEUDA SEGUN PDE.T 1,12 DE LA DEUDA SEGUN PDE","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE. CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A CORTO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.T1,12 DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","PDE2010.AAPP.DEUDA SEGUN PDE.CONTRIBUCION A T1,12 TOTAL DE LA DEUDA PDE. VALORES REPRESENTATIVOS DE DEUDA A LARGO PLAZO","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE.VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. VARIACION MENSUAL DE LA DEUDA PDE.PRESTAMOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. T1/12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS","ADMINISTRACIONES PÚBLICAS . PDE2010.AAPP.DEUDA SEGUN PDE. DEUDA SEGUN EL PROTOCOLO DE DEFICIT EXCESIVO. CONTRIBUCION A T1,12 TOTAL PRESTAMOS MAS EFECTIVO Y DEPOSITOS"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros"
"DIC 1994",249507617,"_","_",70997232,"_","_","_",117831246,"_","_","_",60679137,"_","_","_"
"ENE 1995",252883963,3376346,"_",67301448,-3695784,"_","_",118331221,499975,"_","_",67251293,6572155,"_","_"
"FEB 1995",259551133,6667170,"_",72908624,5607176,"_","_",119651612,1320391,"_","_",66990897,-260396,"_","_"
"MAR 1995",261635995,2084862,"_",69695216,-3213408,"_","_",123668718,4017106,"_","_",68272059,1281161,"_","_"
"ABR 1995",259938841,-1697154,"_",69184968,-510248,"_","_",123727784,59066,"_","_",67026086,-1245973,"_","_"
"MAY 1995",262989631,3050790,"_",69552064,367096,"_","_",126178881,2451097,"_","_",67258687,232601,"_","_"
"JUN 1995",272563275,9573644,"_",74549208,4997144,"_","_",130493281,4314400,"_","_",67520788,262101,"_","_"
"JUL 1995",274394165,1830890,"_",77706568,3157360,"_","_",130706494,213213,"_","_",65981103,-1539685,"_","_"
"AGO 1995",277043980,2649816,"_",77486136,-220432,"_","_",133769855,3063361,"_","_",65787990,-193114,"_","_"
"SEP 1995",279730532,2686552,"_",77152192,-333944,"_","_",137571843,3801988,"_","_",65006495,-781495,"_","_"
