"","IE_08.11.01","IE_08.11.02","IE_08.11.03","IE_08.11.04","IE_08.11.05","IE_08.11.06","IE_08.11.07","IE_08.11.08","IE_08.11.09","IE_08.11.10","IE_08.11.11","IE_08.11.12","IE_08.11.13","IE_08.11.14","IE_08.11.15","IE_08.11.16","IE_08.11.17"
"NÚMERO SECUENCIAL",1625883,1625884,1625870,1625871,1625872,1625873,1625874,1625875,1625885,1625876,1625886,1625877,1625878,1625879,1625880,1625881,1625882
"DESCRIPCIÓN DE LA SERIE","I.I.C. FIM + FIAMM. Patrimonio. Dato fin de mes","I.I.C. FIM + FIAMM. Variación mensual patrimonio. Dato fin de mes        ","I.I.C. FIM + FIAMM. Suscripción neta. ","I.I.C. FIM + FIAMM. Rentabilidad acumulada anual.     ","I.I.C. FMM. Patrimonio. Dato fin de mes","I.I.C. FMM. Variación mensual patrimonio. Dato fin de mes","I.I.C. FMM. Suscripción neta.   ","I.I.C. FMM. Rentabilidad acumulada anual.  ","I.I.C. FIM.Renta fija. Patrimonio.  Dato fin de mes       ","I.I.C. FIM. Renta fija. Variación mensual patrimonio. Dato fin de mes      ","I.I.C. FIM.Renta fija. Suscripción neta. ","I.I.C. FIM. Renta fija.  Rentabilidad acumulada anual. ","I.I.C. FIM. Renta variable. Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable  Patrimonio. Dato fin de mes       ","I.I.C. FIM. Renta variable. Suscripción neta.       ","I.I.C. FIM.Renta variable.  Rentabilidad acumulada anual. ","I.I.C. FIM. Resto. Patrimonio. Dato fin de mes       "
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros","Miles de Euros","Miles de Euros","Porcentaje","Miles de Euros"
"DIC 1997",162449870.0,162449870.0,2493398.0,7.952,61097356.0,61097356.0,284973.6,4.364,85392296.0,85392296.0,"_",1.077,14584388.0,14584388.0,2208424.5,"_",1282571.9
"ENE 1998",168539860.0,6089984.0,3695147.3,8.573,61369632.0,272276.0,-13328.4,4.178,89367328.0,3975032.0,2153000.0,2.597,16323609.0,1739221.0,1555475.8,"_",1479277.1
"FEB 1998",175093380.0,6553520.0,3891101.0,10.212,60993872.0,-375760.0,-529973.8,4.129,93744344.0,4377016.0,2577000.0,4.044,18591498.0,2267889.0,1844074.9,"_",1763664.0
"MAR 1998",184053020.0,8959648.0,5331498.5,12.548,59311956.0,-1681916.0,-1853881.9,4.055,100128030.0,6383688.0,3668000.0,5.848,22379654.0,3788156.0,3517380.5,"_",2233385.0
"ABR 1998",187228580.0,3175552.0,3615062.8,11.032,57653140.0,-1658816.0,-1787755.0,3.869,103474000.0,3345968.0,2758000.0,5.735,23586846.0,1207192.0,2644817.8,"_",2514592.5
"MAY 1998",190098910.0,2870336.0,2004740.9,10.486,56841960.0,-811180.0,-951908.0,3.717,106032830.0,2558832.0,1343000.0,6.582,24564868.0,978022.0,1613648.9,"_",2659256.3
"JUN 1998",191932210.0,1833296.0,825862.1,9.374,55167380.0,-1674580.0,-1808372.5,3.620,108632240.0,2599408.0,1040000.0,7.304,25338130.0,773262.0,1594234.6,"_",2794472.0
"JUL 1998",196157140.0,4224928.0,2983427.0,9.526,54377776.0,-789604.0,-915225.7,3.535,112095540.0,3463304.0,1898000.0,8.121,26650554.0,1312424.0,2000652.6,"_",3033266.0
"AGO 1998",191679010.0,-4478128.0,1020360.9,7.349,54251856.0,-125920.0,-263186.3,3.485,111022030.0,-1073512.0,762000.0,6.692,23463808.0,-3186746.0,521547.2,"_",2941305.3
"SEP 1998",190702100.0,-976912.0,154114.7,4.833,54056108.0,-195748.0,-339295.6,3.367,111563750.0,541720.0,111000.0,6.726,22222934.0,-1240874.0,382410.3,"_",2859303.0
"OCT 1998",195251940.0,4549840.0,1468857.4,8.255,54083516.0,27408.0,-104990.5,3.314,114375660.0,2811904.0,1404000.0,7.857,23850636.0,1627702.0,169847.9,"_",2942128.5
